model,component,effect,standard_error,ci95_low,ci95_high,enabled_trials,disabled_trials
atlas-sim,role,-1.860119047625286e-05,0.024077726043935162,-0.04721094423658917,0.047173741855636664,672,672
atlas-sim,delimiters,0.054415922619047596,0.024031862481540694,0.007313472155227839,0.10151837308286735,672,672
atlas-sim,few_shot,0.024923115079365177,0.02784861325982619,-0.029660166909894155,0.0795063970686245,336,1008
atlas-sim,output_schema,0.06946726190476193,0.02455076373061652,0.021347764992753558,0.1175867588167703,504,840
atlas-sim,decomposition,-0.014293154761904736,0.027504976787183947,-0.06820290926478527,0.0396165997409758,336,1008
atlas-sim,verification,0.08008184523809525,0.02728326575311817,0.026606644361983636,0.13355704611420688,336,1008
atlas-sim,evidence_after,0.04903025793650784,0.027384511631434606,-0.004643384861103987,0.10270390073411967,336,1008
ember-sim,role,0.05677827380952394,0.02467923906544655,0.008406965241248704,0.10514958237779917,672,672
ember-sim,delimiters,0.004345238095238013,0.024727575424323786,-0.04412080973643661,0.052811285926912636,672,672
ember-sim,few_shot,-0.003273809523809512,0.02880476345728442,-0.05973114590008697,0.053183526852467945,336,1008
ember-sim,output_schema,0.037523809523809515,0.025314853825514468,-0.01209330397419884,0.08714092302181786,504,840
ember-sim,decomposition,0.04021825396825407,0.028306422254710396,-0.015262333650978309,0.09569884158748646,336,1008
ember-sim,verification,0.04237103174603174,0.028336285280375538,-0.013168087403504315,0.09791015089556779,336,1008
ember-sim,evidence_after,0.05603174603174599,0.027989769724108455,0.0011717973724934203,0.11089169469099855,336,1008
nova-sim,role,0.012116815476190479,0.02413713081276709,-0.035191960916833014,0.05942559186921397,672,672
nova-sim,delimiters,0.04815848214285712,0.024103574203797058,0.0009154767034148872,0.09540148758229935,672,672
nova-sim,few_shot,0.06304811507936514,0.027494107324835582,0.009159664722687401,0.11693656543604289,336,1008
nova-sim,output_schema,0.01764583333333336,0.02482772376063724,-0.031016505237515632,0.06630817190418235,504,840
nova-sim,decomposition,0.012482638888888897,0.027715897901736217,-0.04184052099851408,0.06680579877629188,336,1008
nova-sim,verification,0.058246527777777835,0.02765334986351385,0.004045962045290688,0.11244709351026498,336,1008
nova-sim,evidence_after,0.021113591269841248,0.02754362995625108,-0.03287192344441087,0.07509910598409336,336,1008
