provider,variant,trials,mean_quality,pass_rate,mean_latency_ms,total_cost_usd,mean_prompt_tokens
atlas-sim,verify,168,0.6119642857142857,0.5535714285714286,695.5929212770953,0.0034716,65.75
atlas-sim,schema_first,168,0.6073511904761905,0.5238095238095238,619.3890464319084,0.0029174,48.541666666666664
atlas-sim,few_shot,168,0.5292261904761905,0.47619047619047616,600.6012147105056,0.0027136,45.166666666666664
atlas-sim,role_only,168,0.5107291666666667,0.44642857142857145,573.8054401069206,0.0027028,43.75
atlas-sim,minimal,168,0.5006547619047619,0.4523809523809524,449.1777005052697,0.0018966,20.875
ember-sim,full_stack,168,0.6040327380952382,0.5535714285714286,1118.5397510521386,0.0058554,136.45833333333334
ember-sim,role_only,168,0.5937053571428572,0.5595238095238095,571.569393269174,0.0027172000000000003,43.75
ember-sim,minimal,168,0.48178571428571426,0.4107142857142857,447.26737839567414,0.0019238,20.875
nova-sim,few_shot,168,0.6110714285714286,0.5357142857142857,602.4314766832182,0.0028224,45.166666666666664
nova-sim,role_only,168,0.4973214285714286,0.43452380952380953,572.4365678472938,0.0027084,43.75
nova-sim,minimal,168,0.45863095238095236,0.375,449.31649287879344,0.0019526,20.875
