model,variant,development_tasks,bootstrap_samples,selection_count,selection_frequency,point_estimate_winner,mean_development_quality,quality_gap_from_winner
atlas-sim,decompose,16,1000,0,0.0,False,0.4946428571428571,0.13013392857142864
atlas-sim,evidence_last,16,1000,97,0.097,False,0.5957589285714285,0.029017857142857206
atlas-sim,few_shot,16,1000,4,0.004,False,0.5160714285714285,0.10870535714285723
atlas-sim,full_stack,16,1000,217,0.217,False,0.6127232142857143,0.012053571428571441
atlas-sim,minimal,16,1000,25,0.025,False,0.5133928571428571,0.11138392857142865
atlas-sim,role_only,16,1000,3,0.003,False,0.5225446428571429,0.10223214285714288
atlas-sim,schema_first,16,1000,303,0.303,True,0.6247767857142857,0.0
atlas-sim,verify,16,1000,351,0.351,False,0.6223214285714286,0.002455357142857162
ember-sim,decompose,16,1000,52,0.052,False,0.5919642857142857,0.051785714285714324
ember-sim,evidence_last,16,1000,70,0.07,False,0.5754464285714286,0.06830357142857146
ember-sim,few_shot,16,1000,3,0.003,False,0.5546875,0.08906250000000004
ember-sim,full_stack,16,1000,229,0.229,False,0.6267857142857143,0.016964285714285765
ember-sim,minimal,16,1000,0,0.0,False,0.496875,0.14687500000000003
ember-sim,role_only,16,1000,493,0.493,True,0.64375,0.0
ember-sim,schema_first,16,1000,35,0.035,False,0.5584821428571428,0.08526785714285723
ember-sim,verify,16,1000,118,0.118,False,0.6024553571428571,0.041294642857142905
nova-sim,decompose,16,1000,54,0.054,False,0.5756696428571428,0.07633928571428572
nova-sim,evidence_last,16,1000,40,0.04,False,0.5580357142857143,0.09397321428571426
nova-sim,few_shot,16,1000,247,0.247,False,0.6375,0.014508928571428603
nova-sim,full_stack,16,1000,68,0.068,False,0.5823660714285714,0.06964285714285712
nova-sim,minimal,16,1000,0,0.0,False,0.5051339285714286,0.14687499999999998
nova-sim,role_only,16,1000,1,0.001,False,0.5082589285714285,0.14375000000000004
nova-sim,schema_first,16,1000,18,0.018,False,0.5727678571428572,0.0792410714285714
nova-sim,verify,16,1000,572,0.572,True,0.6520089285714286,0.0
